GbGDiv results table from 'allMtub-MYCOBACT' records table.																
"Created at 16:55, on Tue 3 May, 2016"																
Software version: 0.9																
Isolate records read from table: 7670																
																
Locus	Category	Missing	Paralogous	CountNuc	CountAA	MinLength	MaxLength	AvgLength	NonVarNuc	NonVarAA	AllelicDiv	ADivNM	VSitesNuc	VSitesAA	RatioCount	RatioVS
MYCO002995	Int metab	275	0	54	29	1011	1011	1011	958	308	0.053412463	-0.008594093	0.052423343	0.086053412	0.537037037	1.641509434
MYCO002996	Int metab	487	0	79	38	1587	1587	1587	1513	493	0.049779458	-0.012227098	0.046628859	0.06805293	0.481012658	1.459459459
MYCO003001	Int metab	37	0	45	23	1002	1002	1002	955	309	0.04491018	-0.017096376	0.046906188	0.074850299	0.511111111	1.595744681
MYCO003003	Int metab	347	0	80	51	1857	1857	1857	1780	572	0.043080237	-0.018926319	0.041464728	0.075928918	0.6375	1.831168831
MYCO003006	Cell wall	264	0	50	36	1113	1122	1121.75	1066	339	0.044573211	-0.017433344	0.049699131	0.093380878	0.72	1.878923767
MYCO003009	Information	36	0	75	48	1530	1530	1530	1455	464	0.049019608	-0.012986948	0.049019608	0.090196078	0.64	1.84
MYCO003010	Int metab	691	0	50	27	1029	1032	1031.888889	983	283	0.048454829	-0.013551726	0.047378055	0.177236998	0.54	3.740909091
MYCO003011	Information	1350	0	69	44	1485	1485	1485	1417	453	0.046464646	-0.015541909	0.045791246	0.084848485	0.637681159	1.852941176
MYCO003014	Information	701	0	105	59	2064	2076	2075.694915	1926	582	0.050585469	-0.011421087	0.072117976	0.158835922	0.561904762	2.202445652
MYCO003024	Information	352	0	66	41	1101	1104	1103.926829	1034	329	0.059786571	-0.002219985	0.063343718	0.105919003	0.621212121	1.672131148
MYCO003025	Int metab	216	0	65	35	1182	1182	1182	1118	353	0.05499154	-0.007015016	0.054145516	0.104060914	0.538461538	1.921875
MYCO003027	Int metab	59	0	60	41	846	846	846	789	242	0.070921986	0.00891543	0.067375887	0.141843972	0.683333333	2.105263158
MYCO003028	Int metab	966	0	46	28	951	957	956.7857143	909	292	0.048077641	-0.013928915	0.049944009	0.08443449	0.608695652	1.69058296
MYCO003029	Int metab	33	0	34	23	801	801	801	768	244	0.042446941	-0.019559614	0.041198502	0.086142322	0.676470588	2.090909091
MYCO003031	Hypoth	420	0	82	51	1578	1581	1580.941176	1487	468	0.051867837	-0.010138718	0.059421045	0.111921417	0.62195122	1.883531622
MYCO003032	Int metab	761	0	52	30	1245	1245	1245	1196	387	0.041767068	-0.020239488	0.03935743	0.06746988	0.576923077	1.714285714
MYCO003034	Int metab	35	0	40	27	903	903	903	864	274	0.044296788	-0.017709767	0.043189369	0.089700997	0.675	2.076923077
MYCO003038	Hypoth	19	0	47	25	981	984	983.88	934	303	0.047770053	-0.014236503	0.05069724	0.076106842	0.531914894	1.501202887
MYCO003042	Int metab	138	0	57	30	1224	1230	1229.8	1171	379	0.046349	-0.015657556	0.047812652	0.075459424	0.526315789	1.578231293
MYCO003043	Int metab	26	0	70	37	1722	1722	1722	1650	457	0.040650407	-0.021356149	0.041811847	0.203832753	0.528571429	4.875
MYCO003045	Int metab	15	0	50	34	1041	1041	1041	994	316	0.04803074	-0.013975816	0.045148895	0.089337176	0.68	1.978723404
MYCO003048	Information	28	0	53	26	975	975	975	924	300	0.054358974	-0.007647581	0.052307692	0.076923077	0.490566038	1.470588235
MYCO003049	Int metab	200	0	91	57	1569	1584	1575	1480	470	0.057777778	-0.004228778	0.06031746	0.104761905	0.626373626	1.736842105
MYCO003051	Information	58	0	66	35	2082	2085	2082.085714	2019	643	0.031698983	-0.030307573	0.030299288	0.073525174	0.53030303	2.426630435
MYCO003052	Information	32	0	22	10	453	453	453	432	141	0.048565121	-0.013441434	0.046357616	0.066225166	0.454545455	1.428571429
MYCO003053	Information	9	0	9	5	240	240	240	232	75	0.0375	-0.024506556	0.033333333	0.0625	0.555555556	1.875
MYCO003054	Hypoth	258	0	44	28	555	555	555	514	159	0.079279279	0.017272723	0.073873874	0.140540541	0.636363636	1.902439024
MYCO003057	Int metab	32	0	47	32	864	864	864	817	257	0.054398148	-0.007608408	0.054398148	0.107638889	0.680851064	1.978723404
MYCO003085	Int metab	466	0	55	35	831	831	831	778	243	0.066185319	0.004178763	0.06377858	0.122743682	0.636363636	1.924528302
MYCO003100	Virulence	15	0	23	14	483	483	483	461	147	0.047619048	-0.014387508	0.045548654	0.086956522	0.608695652	1.909090909
MYCO003101	Cell wall	42	0	34	19	894	894	894	861	279	0.03803132	-0.023975236	0.036912752	0.063758389	0.558823529	1.727272727
MYCO003102	Cell wall	6	0	34	20	690	690	690	657	212	0.049275362	-0.012731193	0.047826087	0.07826087	0.588235294	1.636363636
MYCO003105	Information	342	0	58	35	1137	1140	1137.085714	1081	344	0.051007588	-0.010998967	0.049324087	0.092416704	0.603448276	1.873662761
MYCO003117	Int metab	117	8	50	26	834	834	834	788	254	0.059952038	-0.002054517	0.055155875	0.086330935	0.52	1.565217391
MYCO003118	Int metab	1532	26	13	6	303	303	303	292	95	0.04290429	-0.019102265	0.03630363	0.059405941	0.461538462	1.636363636
MYCO003139	Lipids	34	0	83	54	1404	1407	1406.944444	1326	417	0.05899309	-0.003013466	0.057532083	0.110839092	0.65060241	1.926561428
MYCO003140	Lipids	35	0	76	52	1206	1209	1206.057692	1133	352	0.063015228	0.001008672	0.06057562	0.124419995	0.684210526	2.053961569
MYCO003193	Cell wall	109	0	162	93	2979	2979	2979	2824	907	0.054380665	-0.007625891	0.052030883	0.086606244	0.574074074	1.664516129
MYCO003194	Cell wall	8	0	46	25	1023	1023	1023	979	317	0.044965787	-0.017040769	0.043010753	0.070381232	0.543478261	1.636363636
MYCO003195	Hypoth	597	0	91	61	1404	1428	1418.754098	1308	411	0.064140784	0.002134228	0.078064337	0.130927621	0.67032967	1.677175844
MYCO003197	Cell wall	48	0	73	43	1344	1344	1344	1256	403	0.054315476	-0.00769108	0.06547619	0.100446429	0.589041096	1.534090909
MYCO003198	Information	543	0	94	57	2103	2103	2103	2007	645	0.04469805	-0.017308505	0.045649073	0.079885877	0.606382979	1.75
MYCO003205	Hypoth	73	0	47	27	879	882	879.1111111	834	267	0.053463094	-0.008543462	0.051314459	0.088852376	0.574468085	1.731527094
MYCO003206	Int metab	50	0	74	45	1176	1182	1179	1110	352	0.062765055	0.000758499	0.058524173	0.1043257	0.608108108	1.782608696
MYCO003207	Hypoth	26	0	44	30	858	858	858	816	258	0.051282051	-0.010724505	0.048951049	0.097902098	0.681818182	2
MYCO003208	Regulatory	94	0	35	27	687	696	687.3333333	641	193	0.050921435	-0.01108512	0.067410281	0.157613967	0.771428571	2.338129496
MYCO003211	Information	583	0	100	61	1581	1584	1583.901639	1488	474	0.063135234	0.001128678	0.060547724	0.102216978	0.61	1.688205128
MYCO003213	Cell wall	31	0	53	34	801	804	801.0882353	751	223	0.066160003	0.004153447	0.062525241	0.164886001	0.641509434	2.637110981
MYCO003214	Int metab	54	0	44	31	612	612	612	566	173	0.071895425	0.009888869	0.075163399	0.151960784	0.704545455	2.02173913
MYCO003219	Regulatory	9	0	9	4	255	255	255	247	81	0.035294118	-0.026712438	0.031372549	0.047058824	0.444444444	1.5
MYCO003220	Regulatory	42	0	66	39	1503	1506	1505.769231	1434	467	0.043831418	-0.018175138	0.047662835	0.069578544	0.590909091	1.459807074
MYCO003221	Lipids	0	0	14	9	216	216	216	202	63	0.064814815	0.002808259	0.064814815	0.125	0.642857143	1.928571429
MYCO003223	Information	6	0	35	23	651	654	651.1304348	618	196	0.053752671	-0.008253885	0.05088141	0.096955128	0.657142857	1.905511811
MYCO003228	Hypoth	716	0	54	36	993	993	993	942	297	0.054380665	-0.007625891	0.051359517	0.102719033	0.666666667	2
MYCO003229	Lipids	42	0	91	58	1284	1284	1284	1196	377	0.070872274	0.008865718	0.068535826	0.119158879	0.637362637	1.738636364
MYCO003240	Cell wall	798	0	123	77	2838	2853	2849.766234	2695	855	0.043161435	-0.018845121	0.054308396	0.099926173	0.62601626	1.839976504
MYCO003241	Information	350	0	37	25	636	651	645.12	607	193	0.057353671	-0.004652885	0.059089782	0.10249256	0.675675676	1.73452256
MYCO003245	Regulatory	31	0	75	38	1704	1704	1704	1635	533	0.044014085	-0.017992471	0.040492958	0.061619718	0.506666667	1.52173913
MYCO003246	Regulatory	19	0	22	10	687	687	687	666	219	0.03202329	-0.029983266	0.030567686	0.043668122	0.454545455	1.428571429
MYCO003248	Int metab	88	0	92	43	1488	1488	1488	1396	456	0.061827957	-0.000178599	0.061827957	0.080645161	0.467391304	1.304347826
MYCO003252	Lipids	371	0	70	40	1251	1251	1251	1182	378	0.055955236	-0.00605132	0.055155875	0.09352518	0.571428571	1.695652174
MYCO003255	Int metab	207	0	51	25	1227	1227	1227	1178	385	0.041564792	-0.020441764	0.0399348	0.058679707	0.490196078	1.469387755
MYCO003257	Int metab	374	0	62	31	1398	1398	1398	1339	440	0.04434907	-0.017657486	0.042203147	0.055793991	0.5	1.322033898
MYCO003258	Hypoth	507	0	26	14	492	492	492	464	151	0.052845528	-0.009161027	0.056910569	0.079268293	0.538461538	1.392857143
MYCO003261	Int metab	29	0	54	33	996	996	996	942	300	0.054216867	-0.007789688	0.054216867	0.096385542	0.611111111	1.777777778
MYCO003262	Int metab	436	0	66	42	1347	1347	1347	1277	407	0.048997773	-0.013008783	0.051967335	0.093541203	0.636363636	1.8
MYCO003264	Cell wall	29	0	45	24	1080	1080	1080	1036	336	0.041666667	-0.020339889	0.040740741	0.066666667	0.533333333	1.636363636
MYCO003265	Cell wall	184	0	49	26	894	906	905.0769231	848	274	0.054139045	-0.007867511	0.063063063	0.091789903	0.530612245	1.455525606
MYCO003267	Hypoth	522	0	57	36	1497	1497	1497	1442	464	0.038076152	-0.023930403	0.036740147	0.070140281	0.631578947	1.909090909
MYCO003274	Lipids	11	0	59	35	1170	1170	1170	1110	355	0.05042735	-0.011579205	0.051282051	0.08974359	0.593220339	1.75
MYCO003275	Int metab	235	0	28	14	525	525	525	500	162	0.053333333	-0.008673222	0.047619048	0.074285714	0.5	1.56
MYCO003276	Int metab	197	0	64	34	1290	1293	1290.088235	1228	400	0.04960901	-0.012397546	0.048127123	0.069831065	0.53125	1.450971104
MYCO003277	Cell wall	14	0	36	21	819	831	819.5714286	787	254	0.043925397	-0.018081159	0.039742025	0.070245773	0.583333333	1.76754386
MYCO003280	Lipids	58	0	72	42	1647	1647	1647	1577	509	0.043715847	-0.018290709	0.042501518	0.072859745	0.583333333	1.714285714
MYCO003285	Lipids	240	0	76	39	1803	1803	1803	1724	563	0.042151969	-0.019854587	0.043815862	0.063227953	0.513157895	1.443037975
MYCO003290	Int metab	45	0	53	28	1344	1350	1349.785714	1293	422	0.039265492	-0.022741064	0.04207017	0.062073345	0.528301887	1.475471698
MYCO003296	Information	2282	0	238	147	4536	4542	4541.959184	4299	1375	0.052400295	-0.009606261	0.053492155	0.091801614	0.617647059	1.716169677
MYCO003302	Int metab	145	0	69	31	1758	1758	1758	1690	556	0.039249147	-0.022757409	0.038680319	0.051194539	0.449275362	1.323529412
MYCO003303	Int metab	7602	0	2	2	1482	1482	1482	1479	491	0.001349528	-0.060657028	0.002024291	0.006072874	1	3
MYCO003304	Hypoth	84	0	18	9	480	480	480	464	151	0.0375	-0.024506556	0.033333333	0.05625	0.5	1.6875
MYCO003305	Int metab	149	0	54	32	1170	1170	1170	1119	360	0.046153846	-0.01585271	0.043589744	0.076923077	0.592592593	1.764705882
MYCO003306	Int metab	463	0	65	51	1182	1185	1184.882353	1119	339	0.054857767	-0.007148789	0.055602443	0.141686938	0.784615385	2.548214286
MYCO003313	Int metab	45	0	37	16	1092	1098	1097.4375	1051	348	0.033714904	-0.028291652	0.042314483	0.048692978	0.432432432	1.150740242
MYCO003317	Int metab	29	0	35	25	435	435	435	403	123	0.08045977	0.018453214	0.073563218	0.151724138	0.714285714	2.0625
MYCO003318	Int metab	400	0	75	45	1767	1773	1772.866667	1697	544	0.042304366	-0.01970219	0.042793216	0.079457	0.6	1.856766257
MYCO003319	Int metab	104	0	45	29	783	792	791.6896552	738	235	0.056840455	-0.005166101	0.067816543	0.109499543	0.644444444	1.614643545
MYCO003328	Information	584	0	63	46	927	939	938.6086957	855	221	0.067120623	0.005114067	0.089077265	0.293635353	0.73015873	3.296411856
MYCO003329	Int metab	85	0	86	60	1317	1317	1317	1234	383	0.065299924	0.003293368	0.06302202	0.127562642	0.697674419	2.024096386
MYCO003330	Cell wall	749	0	69	41	1218	1218	1218	1148	368	0.056650246	-0.005356309	0.057471264	0.093596059	0.594202899	1.628571429
MYCO003336	Information	23	0	44	27	1011	1011	1011	968	311	0.043521266	-0.01848529	0.042532146	0.077151335	0.613636364	1.813953488
MYCO003340	Int metab	38	0	57	37	1350	1350	1350	1291	413	0.042222222	-0.019784334	0.043703704	0.082222222	0.649122807	1.881355932
MYCO003341	Int metab	995	0	62	37	1137	1140	1139.918919	1080	345	0.054389833	-0.007616722	0.052564194	0.092040686	0.596774194	1.751014885
MYCO003356	Int metab	42	0	39	22	846	846	846	809	261	0.046099291	-0.015907265	0.043735225	0.074468085	0.564102564	1.702702703
MYCO003392	Lipids	73	5855	22	17	864	864	864	627	199	0.025462963	-0.036543593	0.274305556	0.309027778	0.772727273	1.126582278
MYCO003396	Int metab	134	0	67	33	1578	1578	1578	1514	494	0.042458809	-0.019547747	0.040557668	0.060836502	0.492537313	1.5
MYCO003409	Lipids	201	0	81	46	1737	1740	1737.065217	1648	531	0.046630374	-0.015376182	0.051273387	0.082935986	0.567901235	1.617525018
MYCO003410	Int metab	1329	0	55	25	1128	1128	1128	1075	351	0.048758865	-0.013247691	0.046985816	0.066489362	0.454545455	1.41509434
MYCO003411	Int metab	341	0	81	50	1590	1590	1590	1510	482	0.050943396	-0.01106316	0.050314465	0.090566038	0.617283951	1.8
MYCO003412	Hypoth	16	0	21	16	411	411	411	390	121	0.051094891	-0.010911665	0.051094891	0.116788321	0.761904762	2.285714286
MYCO003417	Virulence	21	4379	55	32	1620	1623	1620.1875	1035	311	0.033946688	-0.028059868	0.361185048	0.424140724	0.581818182	1.174303108
MYCO003418	Virulence	4	0	13	7	303	303	303	291	94	0.04290429	-0.019102265	0.03960396	0.069306931	0.538461538	1.75
MYCO003419	Int metab	317	0	49	27	1035	1035	1035	985	318	0.047342995	-0.014663561	0.048309179	0.07826087	0.551020408	1.62
MYCO003422	Hypoth	8	0	25	11	507	507	507	483	142	0.049309665	-0.012696891	0.047337278	0.159763314	0.44	3.375
MYCO003432	Int metab	60	0	66	36	1383	1383	1383	1320	427	0.047722343	-0.014284213	0.045553145	0.073752711	0.545454545	1.619047619
MYCO003433	Hypoth	2714	0	56	30	1422	1425	1422.1	1337	395	0.039378384	-0.022628172	0.05984108	0.166725265	0.535714286	2.78613396
MYCO003436	Int metab	1903	0	77	40	1869	1875	1874.85	1781	554	0.041069952	-0.020936604	0.050057338	0.113529082	0.519480519	2.26798082
MYCO003441	Int metab	810	0	74	35	1347	1350	1347.085714	1275	416	0.054933401	-0.007073155	0.053512344	0.073555612	0.472972973	1.374554102
MYCO003455	Information	355	0	43	30	768	771	770.9	715	210	0.05577896	-0.006227596	0.072512648	0.182773382	0.697674419	2.520572451
MYCO003457	Information	33	0	58	40	1044	1047	1044.075	985	303	0.055551565	-0.006454991	0.056581184	0.12937289	0.689655172	2.286500212
MYCO003462	Information	10	0	17	7	222	222	222	206	67	0.076576577	0.014570021	0.072072072	0.094594595	0.411764706	1.3125
MYCO003464	Int metab	23	0	49	30	996	996	996	949	304	0.049196787	-0.012809769	0.047188755	0.084337349	0.612244898	1.787234043
MYCO003490	Virulence	97	0	82	48	1503	1506	1503.0625	1423	456	0.054555283	-0.007451273	0.053266248	0.089858206	0.585365854	1.68696331
MYCO003500	Virulence	33	0	45	19	843	843	843	799	262	0.053380783	-0.008625773	0.052194543	0.067615658	0.422222222	1.295454545
MYCO003501	Virulence	56	0	39	16	765	765	765	731	239	0.050980392	-0.011026164	0.044444444	0.062745098	0.41025641	1.411764706
MYCO003504	Lipids	55	0	70	44	1203	1203	1203	1130	358	0.058187864	-0.003818692	0.060681629	0.10723192	0.628571429	1.767123288
MYCO003520	Int metab	93	0	68	39	1044	1044	1044	976	311	0.0651341	0.003127544	0.0651341	0.106321839	0.573529412	1.632352941
MYCO003570	Int metab	25	0	43	18	1185	1185	1185	1143	377	0.03628692	-0.025719636	0.035443038	0.04556962	0.418604651	1.285714286
MYCO003571	Int metab	85	0	56	28	1077	1077	1077	1021	332	0.051996286	-0.01001027	0.051996286	0.075208914	0.5	1.446428571
MYCO003579	Int metab	1094	0	73	39	969	975	969.1538462	897	285	0.075323438	0.013316883	0.074450353	0.117787126	0.534246575	1.582089552
MYCO003580	Information	146	0	58	36	1410	1410	1410	1352	435	0.041134752	-0.020871804	0.041134752	0.074468085	0.620689655	1.810344828
MYCO003583	Regulatory	6	0	25	11	489	489	489	465	152	0.051124744	-0.010881811	0.049079755	0.067484663	0.44	1.375
MYCO003589	Information	1781	0	51	35	915	915	915	860	261	0.055737705	-0.006268851	0.06010929	0.144262295	0.68627451	2.4
MYCO003592	Int metab	12	0	20	11	318	318	318	297	94	0.062893082	0.000886526	0.066037736	0.113207547	0.55	1.714285714
MYCO003596	Int metab	589	0	129	57	2547	2547	2547	2427	777	0.050647821	-0.011358735	0.047114252	0.084805654	0.441860465	1.8
MYCO003598	Information	61	0	60	36	1518	1521	1518.083333	1458	471	0.039523522	-0.022483034	0.039578416	0.069221057	0.6	1.748959778
MYCO003600	Hypoth	66	0	39	23	819	819	819	780	251	0.047619048	-0.014387508	0.047619048	0.080586081	0.58974359	1.692307692
MYCO003601	Int metab	58	0	27	16	420	420	420	394	124	0.064285714	0.002279158	0.061904762	0.114285714	0.592592593	1.846153846
MYCO003609	Int metab	8	0	20	9	609	609	609	589	193	0.032840722	-0.029165833	0.032840722	0.049261084	0.45	1.5
MYCO003610	Cell wall	736	0	102	55	2283	2283	2283	2185	709	0.044678055	-0.017328501	0.042925975	0.068331143	0.539215686	1.591836735
MYCO003624	Int metab	20	0	48	24	642	651	650.625	594	189	0.073775216	0.01176866	0.0870317	0.128530259	0.5	1.476821192
MYCO003628	Int metab	34	0	32	14	489	489	489	458	149	0.065439673	0.003433117	0.063394683	0.085889571	0.4375	1.35483871
MYCO003644	Information	410	0	72	45	1200	1206	1205.866667	1131	358	0.059708094	-0.002298462	0.06208536	0.109354268	0.625	1.761353517
MYCO003646	Information	1138	0	129	62	2805	2805	2805	2680	878	0.045989305	-0.016017251	0.04456328	0.060962567	0.480620155	1.368
MYCO003647	Hypoth	118	0	30	20	579	579	579	551	174	0.051813472	-0.010193084	0.04835924	0.098445596	0.666666667	2.035714286
MYCO003648	Virulence	12	0	35	24	204	204	204	173	49	0.171568627	0.109562072	0.151960784	0.279411765	0.685714286	1.838709677
MYCO003668	Int metab	16	0	36	18	699	699	699	664	215	0.051502146	-0.01050441	0.050071531	0.077253219	0.5	1.542857143
MYCO003670	Virulence	394	0	54	30	984	984	984	931	299	0.054878049	-0.007128507	0.053861789	0.088414634	0.555555556	1.641509434
MYCO003674	Information	16	0	39	22	738	738	738	700	225	0.052845528	-0.009161027	0.051490515	0.085365854	0.564102564	1.657894737
MYCO003676	Regulatory	14	0	29	16	675	675	675	648	210	0.042962963	-0.019043593	0.04	0.066666667	0.551724138	1.666666667
MYCO003677	Int metab	107	0	49	27	795	795	795	748	238	0.06163522	-0.000371336	0.059119497	0.101886792	0.551020408	1.723404255
MYCO003679	Cell wall	41	0	65	35	1023	1026	1023.085714	958	310	0.063533289	0.001526733	0.063617069	0.090985255	0.538461538	1.430201932
MYCO003680	Cell wall	187	0	59	40	1149	1164	1160.625	1086	330	0.05083468	-0.011171876	0.064297254	0.147011309	0.677966102	2.286432161
MYCO003682	Cell wall	259	0	120	66	2433	2433	2433	2318	749	0.049321825	-0.012684731	0.047266749	0.076448829	0.55	1.617391304
MYCO003683	Hypoth	127	0	62	35	960	960	960	901	287	0.064583333	0.002576778	0.061458333	0.103125	0.564516129	1.677966102
MYCO003684	Int metab	109	0	39	25	1035	1041	1040.76	994	318	0.037472616	-0.02453394	0.044928706	0.083362158	0.641025641	1.855431993
MYCO003695	Cell wall	56	0	62	38	927	939	933	864	244	0.066452304	0.004445749	0.073954984	0.215434084	0.612903226	2.913043478
MYCO003696	Int metab	310	0	116	74	1551	1557	1554.081081	1451	452	0.07464218	0.012635624	0.066329281	0.127458653	0.637931034	1.921604615
MYCO003705	Hypoth	13	0	46	29	645	645	645	600	182	0.071317829	0.009311274	0.069767442	0.153488372	0.630434783	2.2
MYCO003707	Hypoth	220	0	54	36	1008	1011	1010.916667	945	297	0.053416866	-0.00858969	0.065204847	0.118621713	0.666666667	1.819216182
MYCO003708	Int metab	226	0	55	25	1038	1038	1038	985	322	0.052986513	-0.009020043	0.05105973	0.069364162	0.454545455	1.358490566
MYCO003709	Int metab	128	0	59	33	1263	1266	1265.909091	1202	388	0.046606822	-0.015399734	0.05048474	0.080502693	0.559322034	1.594594595
MYCO003710	Int metab	3045	0	64	44	1911	1935	1934.454545	1849	597	0.033084261	-0.028922294	0.044175008	0.07415762	0.6875	1.678723404
MYCO003711	Information	72	0	72	52	990	990	990	922	284	0.072727273	0.010720717	0.068686869	0.139393939	0.722222222	2.029411765
MYCO003712	Int metab	999	0	64	43	1242	1245	1242.069767	1170	341	0.051526896	-0.01047966	0.058023929	0.176374768	0.671875	3.039690223
MYCO003713	Int metab	75	0	29	16	696	696	696	668	216	0.041666667	-0.020339889	0.040229885	0.068965517	0.551724138	1.714285714
MYCO003715	Information	9	0	24	13	612	612	612	590	192	0.039215686	-0.02279087	0.035947712	0.058823529	0.541666667	1.636363636
MYCO003717	Hypoth	8	0	43	19	726	726	726	687	223	0.05922865	-0.002777906	0.053719008	0.078512397	0.441860465	1.461538462
MYCO003718	Hypoth	7	0	20	12	444	444	444	425	136	0.045045045	-0.016961511	0.042792793	0.081081081	0.6	1.894736842
MYCO003719	Hypoth	40	0	70	42	1413	1413	1413	1344	430	0.049539986	-0.01246657	0.048832272	0.087048832	0.6	1.782608696
MYCO003720	Lipids	260	0	74	41	1263	1263	1263	1198	386	0.058590657	-0.003415899	0.051464766	0.083135392	0.554054054	1.615384615
MYCO003721	Information	639	0	94	45	1725	1737	1736.733333	1618	512	0.054124602	-0.007881954	0.068365898	0.115580976	0.478723404	1.690623245
MYCO003722	Hypoth	30	0	80	50	1308	1308	1308	1227	388	0.06116208	-0.000844476	0.061926606	0.110091743	0.625	1.777777778
MYCO003765	Regulatory	850	0	54	37	702	705	704.9189189	651	202	0.076604555	0.014597999	0.076489533	0.140326662	0.685185185	1.834586466
MYCO003774	Lipids	42	0	58	35	825	825	825	769	241	0.07030303	0.008296475	0.067878788	0.123636364	0.603448276	1.821428571
MYCO003775	Int metab	113	0	86	67	1248	1248	1248	1164	352	0.068910256	0.006903701	0.067307692	0.153846154	0.779069767	2.285714286
MYCO003777	Int metab	451	0	57	41	987	987	987	931	290	0.05775076	-0.004255796	0.056737589	0.118541033	0.719298246	2.089285714
MYCO003778	Int metab	75	0	76	37	1197	1197	1197	1123	365	0.063492063	0.001485508	0.06182122	0.085213033	0.486842105	1.378378378
MYCO003780	Hypoth	724	0	33	24	534	543	537.25	507	158	0.061423918	-0.000582638	0.056305258	0.117729176	0.727272727	2.090909091
MYCO003781	Cell wall	16	0	40	26	822	822	822	784	250	0.0486618	-0.013344755	0.04622871	0.087591241	0.65	1.894736842
MYCO003782	Cell wall	73	0	49	33	915	915	915	869	274	0.053551913	-0.008454643	0.050273224	0.101639344	0.673469388	2.02173913
MYCO003783	Cell wall	77	0	45	27	843	843	843	798	253	0.053380783	-0.008625773	0.053380783	0.099644128	0.6	1.866666667
MYCO003790	Lipids	42	0	77	41	1386	1386	1386	1308	425	0.055555556	-0.006451	0.056277056	0.08008658	0.532467532	1.423076923
MYCO003791	Lipids	83	0	61	36	765	768	765.0833333	701	213	0.079729877	0.017723321	0.083759939	0.164796863	0.590163934	1.967490247
MYCO003793	Cell wall	1269	0	212	131	3276	3288	3284.954198	3073	970	0.064536668	0.002530113	0.064522726	0.1141429	0.617924528	1.76903407
MYCO003794	Cell wall	405	0	236	150	3273	3285	3284.9	3043	955	0.071843892	0.009837336	0.073639989	0.127827331	0.63559322	1.735841257
MYCO003795	Cell wall	353	0	318	195	3294	3297	3296.969231	3045	951	0.09645222	0.034445664	0.076424502	0.134659804	0.613207547	1.761997802
MYCO003799	Lipids	35	0	87	44	1563	1569	1568.863636	1475	478	0.05545415	-0.006552405	0.05982906	0.085962625	0.505747126	1.436803874
MYCO003801	Lipids	78	0	85	35	1914	1914	1914	1830	605	0.044409613	-0.017596942	0.043887147	0.051724138	0.411764706	1.178571429
MYCO003802	Cell wall	143	0	56	35	1011	1011	1011	955	307	0.055390702	-0.006615854	0.055390702	0.089020772	0.625	1.607142857
MYCO003804	Lipids	78	0	62	28	1017	1017	1017	957	310	0.060963618	-0.001042937	0.05899705	0.085545723	0.451612903	1.45
MYCO003806	Cell wall	27	0	96	60	909	909	909	823	259	0.105610561	0.043604005	0.094609461	0.145214521	0.625	1.534883721
MYCO003808	Cell wall	478	0	91	64	1914	1914	1914	1824	575	0.04754441	-0.014462146	0.047021944	0.098746082	0.703296703	2.1
MYCO003809	Cell wall	13	0	56	22	1200	1200	1200	1146	379	0.046666667	-0.015339889	0.045	0.0525	0.392857143	1.166666667
MYCO003816	Int metab	552	0	53	30	780	780	780	728	231	0.067948718	0.005942162	0.066666667	0.111538462	0.566037736	1.673076923
MYCO003834	Information	216	0	71	38	1254	1260	1259.842105	1178	375	0.056356269	-0.005650287	0.064962192	0.107030956	0.535211268	1.647588424
MYCO003835	Cell wall	990	0	83	53	1350	1356	1350.169811	1268	398	0.061473749	-0.000532807	0.060858872	0.115666792	0.638554217	1.900574053
MYCO003842	Int metab	198	0	85	67	822	831	825.0447761	746	214	0.103024711	0.041018156	0.09580665	0.221860415	0.788235294	2.31570997
MYCO003847	Hypoth	2873	0	31	22	531	534	533.8636364	466	137	0.058067263	-0.003939293	0.127117923	0.230140485	0.709677419	1.810448761
MYCO003849	Regulatory	18	0	22	9	399	399	399	377	124	0.055137845	-0.006868711	0.055137845	0.067669173	0.409090909	1.227272727
MYCO003858	Int metab	76	0	65	33	1467	1467	1467	1402	456	0.044308112	-0.017698444	0.044308112	0.067484663	0.507692308	1.523076923
MYCO003859	Int metab	773	0	232	111	4584	4584	4584	4355	1415	0.05061082	-0.011395736	0.04995637	0.07395288	0.478448276	1.480349345
MYCO003907	Information	76	0	117	58	1443	1443	1443	1328	424	0.081081081	0.019074525	0.07969508	0.118503119	0.495726496	1.486956522
MYCO003908	Information	279	0	56	39	735	747	746.3846154	685	212	0.075028342	0.013021786	0.082242605	0.147892404	0.696428571	1.798245614
MYCO003913	Int metab	142	0	102	62	996	1008	1007.758065	900	265	0.101214769	0.039208213	0.106928506	0.211120181	0.607843137	1.974405029
MYCO003915	Int metab	18	0	101	57	1221	1221	1221	1124	350	0.082719083	0.020712527	0.079443079	0.14004914	0.564356436	1.762886598
MYCO003917	Cell wall	32	0	110	57	1029	1035	1034.894737	893	282	0.106291003	0.044284448	0.137110309	0.182525556	0.518181818	1.331231454
MYCO003918	Cell wall	22	0	111	67	1038	1044	1043.910448	936	291	0.10633096	0.044324404	0.103371365	0.163721369	0.603603604	1.583817427
MYCO003920	Hypoth	17	0	58	40	558	567	563.925	504	149	0.102850556	0.040844001	0.106264131	0.207341402	0.689655172	1.951188986
MYCO003921	Cell wall	36	0	112	62	1098	1101	1100.951613	989	309	0.101730175	0.039723619	0.101686225	0.158001143	0.553571429	1.55381069
